Date,BIIB,CCL,CEIX,CNX,CRUS,DIS,DUK,FEYE,FITB,GM,GSK,INTC,INTU,IYW,KHC,KIE,LIT,MCK,NKE,OKE,PBS,PSX,PYPL,RIO,SCHL,SEP,T,UNH,V,VCR,VDC,VFH,VIS,XLB,XLU,XLV
2017-10-02,316.17,63.091,,14.092,55.03,98.273,81.58,17.28,27.410999999999998,40.99100000000001,39.153,38.359,140.42,149.19,75.727,29.78,36.488,154.2,51.398,53.641000000000005,27.789,90.39200000000001,64.18,46.353,36.876,43.088,37.01,195.44,104.9,142.51,135.63,64.99600000000001,133.65,56.653,51.778,81.638
2017-10-03,317.39,62.768,,13.982999999999999,54.47,99.193,81.087,17.52,27.44,42.255,39.181999999999995,38.664,140.53,149.59,75.69800000000001,29.848000000000003,37.059,152.94,51.003,53.978,27.999000000000002,91.616,64.22,46.798,37.311,43.213,37.36,196.61,105.05,143.01,135.66,65.203,134.3,56.89,51.632,81.618
2017-10-04,314.92,63.836000000000006,,13.85,54.77,98.955,81.686,17.49,27.353,42.576,39.048,38.624,141.34,149.37,75.65,29.743000000000002,37.902,152.56,51.607,54.083,28.239,91.419,64.01,46.924,37.341,43.20399999999999,37.379,198.45,104.77,143.64,136.2,64.917,134.19,56.91,52.148999999999994,82.014
2017-10-05,326.74,64.541,,14.075,54.04,98.51899999999999,81.513,17.83,27.756,42.645,38.914,38.811,141.53,150.88,76.116,29.874000000000002,38.366,152.67,51.706,54.467,28.369,91.322,65.82,47.126999999999995,36.936,43.869,37.389,195.89,105.7,144.42,136.7,65.529,134.42,57.254,52.099,82.074
2017-10-06,327.48,64.266,,13.808,54.3,98.479,81.851,17.98,27.726,43.696000000000005,38.866,38.909,143.24,151.36,76.048,29.916999999999998,37.795,150.26,51.943000000000005,53.978,28.239,90.823,66.05,47.465,36.827,43.898999999999994,36.977,196.05,106.18,144.53,135.51,65.568,134.41,57.126999999999995,52.06100000000001,81.964
2017-10-09,329.01,65.07,,13.85,54.37,97.98700000000001,82.025,17.9,27.666999999999998,44.083999999999996,38.857,39.135,143.02,151.76,75.221,29.829,37.65,147.12,51.051,53.861999999999995,27.989,91.31200000000001,66.23,46.488,36.55,43.523,36.699,194.3,106.46,143.84,134.93,65.311,133.9,57.117,52.129,81.45
2017-10-10,332.81,65.686,,13.6,54.61,97.99700000000001,82.962,17.505,27.953000000000003,43.967,39.029,38.928000000000004,143.24,151.77,76.009,30.0,37.911,148.39,51.06100000000001,53.815,27.969,91.459,66.04,46.672,36.679,43.465,36.891,192.7,106.76,143.75,136.23,65.617,134.11,57.156000000000006,52.635,81.638
2017-10-11,333.19,65.804,,13.65,55.02,96.984,83.542,17.49,27.795,44.22,39.106,38.585,142.72,152.39,76.058,29.943,37.814,148.92,50.567,54.16,27.979,91.664,67.78,46.178999999999995,36.619,43.56100000000001,36.593,193.28,107.88,143.82,136.4,65.529,134.06,57.18600000000001,52.858999999999995,81.797
2017-10-12,333.31,65.471,,13.417,54.56,95.389,84.104,17.26,27.686999999999998,43.656000000000006,39.259,38.477,144.9,152.43,76.01899999999999,29.956999999999997,37.814,149.64,50.368,54.18899999999999,27.570999999999998,92.311,68.86,46.498000000000005,36.57,43.376999999999995,34.36,190.96,107.55,142.83,137.01,65.124,134.67,57.294,53.132,81.707
2017-10-13,337.64,66.53,,13.225,54.48,95.833,83.93,17.26,27.598000000000003,44.619,39.249,38.948,144.69,153.29,75.62,30.124000000000002,38.405,146.17,50.516999999999996,54.246,27.71,92.398,68.66,48.365,37.213,43.117,34.207,190.57,108.1,143.31,137.3,65.035,134.35,57.57,52.762,81.5
2017-10-16,335.68,66.82300000000001,,12.967,53.82,96.571,84.259,17.0,27.903000000000002,44.501999999999995,39.106,39.037,143.79,153.86,75.533,30.23,38.657,145.61,50.903999999999996,54.036,27.75,88.915,67.31,48.373999999999995,36.866,42.827,34.658,191.23,107.74,143.53,137.39,65.45,134.58,57.53,52.645,81.14399999999999
2017-10-17,344.47,66.714,,13.192,54.83,96.79700000000001,84.626,16.87,27.51,43.783,39.076,39.066,144.54,153.89,75.426,30.14,38.221,145.41,51.528,54.199,27.73,88.68,66.67,48.152,36.442,42.431999999999995,34.715,201.82,106.98,143.63,136.78,65.085,134.1,57.383,52.957,82.23100000000001
2017-10-18,344.58,66.059,,13.4,55.4,96.689,84.17200000000001,16.9,27.608,43.88,39.249,39.516999999999996,144.81,154.46,74.997,30.275,38.357,145.21,51.825,53.19,27.829,88.29899999999999,67.26,46.44,36.46,41.968,34.216,203.15,107.24,143.42,136.63,65.43,134.35,57.245,52.858999999999995,82.35
2017-10-19,342.42,64.423,,13.183,53.31,97.43700000000001,84.955,16.82,27.814,44.103,39.335,39.36,145.66,153.91,74.385,30.502,38.231,148.94,52.211999999999996,53.614,27.72,88.445,67.25,46.54600000000001,36.55,41.94,34.198,201.19,106.47,143.4,135.91,65.558,134.57,57.463,53.415,82.854
2017-10-20,338.1,64.512,,13.232999999999999,52.94,97.821,85.03200000000001,16.81,28.13,44.357,39.086,39.694,147.0,154.85,74.618,30.511999999999997,38.192,149.75,52.578,53.795,27.837,88.846,70.97,46.778999999999996,36.964,41.332,34.054,205.38,106.99,143.85,135.73,66.298,136.06,57.955,53.45399999999999,82.944
2017-10-23,328.55,64.727,,13.192,53.32,97.131,84.655,16.64,27.963,43.909,38.876,40.086999999999996,146.36,154.22,74.959,30.445999999999998,38.24,147.28,53.172,52.882,27.491,89.277,69.8,46.382,36.727,40.907,33.775999999999996,204.91,106.97,142.87,135.54,66.081,134.98,57.847,53.483000000000004,82.736
2017-10-24,315.73,65.04,,13.433,53.6,96.728,85.09,16.68,28.13,45.203,38.742,40.205,147.65,154.76,75.11399999999999,30.436,38.336999999999996,148.73,52.934,53.738,27.371,89.854,70.21,46.401,36.589,40.83,33.402,206.04,107.85,143.3,135.09,66.505,135.75,58.172,53.532,82.182
2017-10-25,314.64,64.473,,13.242,53.44,96.24600000000001,84.85799999999999,16.49,28.11,43.88,36.55,40.038000000000004,148.48,153.86,75.221,30.281999999999996,37.775999999999996,150.35,54.441,51.596000000000004,27.180999999999997,89.73700000000001,71.02,45.55,36.757,40.029,32.089,205.45,108.92,142.64,134.73,66.208,134.38,57.867,53.298,82.064
2017-10-26,307.64,65.217,,13.125,54.26,96.993,84.48100000000001,16.63,28.374000000000002,44.006,35.028,40.598,150.34,154.58,75.192,30.404,37.708,142.55,56.294,51.326,27.221,89.21799999999999,71.34,45.657,37.568000000000005,39.769,32.273,207.03,109.23,143.09,134.85,66.593,134.84,58.636,53.308,81.242
2017-10-27,307.74,65.814,,13.6,57.02,96.74700000000001,85.052,16.7,28.590999999999998,43.413999999999994,34.674,43.592,152.45,159.1,75.192,30.386999999999997,37.747,134.69,55.452,51.951,27.230999999999998,90.01,71.06,45.888999999999996,37.845,40.983999999999995,32.55,210.44,109.14,144.82,133.9,66.663,134.89,58.33,53.638999999999996,81.223
2017-10-30,315.8,64.649,,13.783,56.31,96.48200000000001,85.206,16.97,28.533,42.178000000000004,35.114000000000004,43.563,150.46,159.82,73.218,30.364,37.727,134.09,54.768,51.912,27.111,89.06200000000001,71.15,45.773,37.17,41.293,32.138000000000005,207.27,109.47,144.23,132.58,66.199,133.67,58.053999999999995,53.648,80.35300000000001
2017-10-31,311.66,65.012,,13.442,56.0,96.255,85.399,16.92,28.424,41.799,34.865,44.662,150.03,160.61,75.221,30.272,37.969,136.94,54.49100000000001,52.133,27.081,89.12,72.56,46.353,36.664,41.611999999999995,32.243,208.08,109.41,144.41,133.77,66.101,133.53,58.211999999999996,53.708,80.204
2017-11-01,315.73,63.228,,13.808,55.72,97.45700000000001,84.965,16.37,28.484,41.945,34.645,45.86,150.37,160.48,75.582,30.275,38.599000000000004,138.71,54.57,52.38399999999999,27.193,90.314,72.38,47.417,36.594,42.141999999999996,32.147,207.4,110.5,144.4,134.14,66.208,133.37,58.498000000000005,53.405,80.40100000000001
2017-11-02,309.4,63.846000000000004,,13.75,56.66,96.787,85.64200000000001,14.685,28.778000000000002,41.43,34.406,46.243,151.16,160.64,75.902,30.255,37.834,136.13,54.619,51.248999999999995,26.930999999999997,91.449,72.25,47.852,36.872,41.776,31.783,208.96,110.41,143.26,133.75,66.73100000000001,134.13,58.074,53.601000000000006,80.03699999999999
2017-11-03,314.14,64.072,,13.558,56.42,97.073,85.603,14.545,28.641,41.177,34.598,45.497,152.63,162.08,75.873,30.252,37.911,136.67,55.205,51.294,26.930999999999997,91.566,73.39,47.62,36.763000000000005,41.148,31.908,210.7,110.79,143.69,133.64,66.495,134.01,58.044,53.795,80.69800000000001
2017-11-06,315.47,64.306,,13.567,57.64,99.044,84.975,14.49,28.759,40.982,34.588,46.119,151.69,162.74,74.9,30.364,38.279,134.28,55.531000000000006,51.44,27.241,92.398,74.74,48.732,36.823,41.486000000000004,31.486,209.97,111.35,144.62,132.33,66.475,134.09,57.797,53.591,80.45100000000001
2017-11-07,313.57,65.002,,13.242,56.84,100.0,86.415,14.46,27.991,40.554,34.282,46.198,151.52,162.81,76.048,30.278000000000002,38.744,136.0,54.648,51.8,27.111,92.536,74.4,48.248999999999995,36.455,41.196000000000005,31.688000000000002,210.54,111.52,143.65,133.45,65.538,134.04,57.857,54.233999999999995,80.62
2017-11-08,312.58,64.56,,12.825,57.54,99.57,86.289,14.65,27.834,40.953,34.914,46.119,151.96,163.64,77.41,30.298000000000002,39.402,139.4,55.253,51.732,26.980999999999998,92.516,74.77,48.839,36.753,40.183,32.042,208.63,111.89,143.8,134.88,65.183,133.8,57.916000000000004,54.273,80.808
2017-11-09,309.96,64.806,,12.833,57.12,101.05,86.676,14.25,27.55,40.953,34.709,45.724,151.43,162.1,77.245,30.325,39.034,139.15,55.62,51.623999999999995,27.141,92.389,74.1,47.504,37.080999999999996,40.55,32.579,209.41,111.57,144.08,134.84,64.917,132.28,57.423,54.341,80.818
2017-11-10,310.44,63.318000000000005,,13.107999999999999,56.69,103.11,85.961,14.21,27.215,41.486999999999995,34.253,45.013000000000005,152.27,162.1,77.547,30.22,39.034,136.67,55.58,51.05,27.160999999999998,91.645,73.98,47.881,36.723,40.211999999999996,32.79,208.93,111.31,144.55,136.18,64.818,132.45,57.333,54.086999999999996,80.294
2017-11-13,315.71,64.61,,13.425,55.91,103.07,86.91799999999999,13.75,27.726,42.372,34.05,45.181000000000004,153.87,162.11,77.673,30.134,39.17,137.11,55.402,50.864,27.141,91.31200000000001,74.03,47.581,37.010999999999996,39.329,32.741,210.5,110.83,145.0,136.82,64.986,131.8,57.63,54.73,80.372
2017-11-14,309.69,64.649,,13.092,55.75,101.53,88.088,13.69,28.14,41.818000000000005,33.943000000000005,45.29,154.19,161.59,77.215,30.147,38.55,135.24,55.472,50.056000000000004,27.051,90.833,74.49,46.42100000000001,37.319,39.378,32.31,209.56,111.41,145.13,137.33,64.99600000000001,131.29,57.107,55.412,80.047
2017-11-15,310.28,64.413,,13.283,54.78,102.04,87.594,13.57,27.991,41.681999999999995,33.846,44.895,152.84,160.45,76.642,30.214000000000002,37.659,137.9,56.11600000000001,49.52,27.011,90.57799999999999,73.43,45.995,37.269,39.879,32.397,207.73,109.68,144.63,135.92,65.153,130.58,56.761,54.935,79.82
2017-11-16,313.98,64.453,,13.357999999999999,55.26,101.95,87.126,13.58,28.000999999999998,42.402,34.147,45.082,154.63,162.62,78.113,29.956999999999997,38.318000000000005,141.73,56.711000000000006,49.345,27.410999999999998,91.16,77.7,46.063,37.855,40.713,33.077,208.99,110.65,145.87,137.95,65.203,131.97,57.453,54.75899999999999,80.649
2017-11-17,313.97,64.845,,14.0,55.77,101.79,86.45200000000001,13.76,27.983,42.674,34.02,44.075,155.53,161.78,78.07300000000001,29.983,38.376,141.16,58.652,49.365,27.646,91.34700000000001,76.38,46.023999999999994,38.123000000000005,40.114000000000004,33.067,207.77,109.45,146.69,137.63,65.173,131.42,57.53,54.38,80.334
2017-11-20,309.46,64.757,,13.367,56.22,101.12,86.589,13.925,28.1,43.646,34.079,44.065,156.75,162.44,78.367,30.041999999999998,38.202,137.29,58.711999999999996,49.52,27.541,91.318,76.01,46.247,38.441,39.918,33.191,208.11,109.58,147.0,137.63,65.509,132.13,57.61,54.214,79.997
2017-11-21,309.06,65.609,,13.558,56.93,101.37,86.736,13.96,28.011,43.733999999999995,33.778,44.381,150.8,164.38,78.446,30.12,38.86,141.89,58.85,48.907,27.779,92.304,77.77,46.468999999999994,38.589,39.427,32.895,210.44,111.08,147.83,137.95,65.755,133.16,57.916000000000004,54.361000000000004,80.69800000000001
2017-11-22,309.8,65.845,,13.692,56.45,101.11,86.56,14.19,27.953000000000003,43.073,34.02,44.095,150.64,164.0,78.259,30.006999999999998,38.938,144.81,58.533,49.277,27.789,91.978,77.57,47.398,38.599000000000004,39.525,33.412,209.08,110.45,147.98,137.85,65.499,133.28,57.757,54.361000000000004,80.669
2017-11-24,308.88,65.767,,13.542,56.47,101.01,86.706,14.21,27.736,43.238,34.001999999999995,44.193000000000005,152.89,164.88,78.191,29.976999999999997,39.17,143.67,58.782,49.725,27.789,92.323,78.57,47.803999999999995,38.876999999999995,39.28,33.355,210.35,111.6,148.28,137.77,65.38,133.28,58.053999999999995,54.448,80.857
2017-11-27,311.73,65.22399999999999,,13.333,55.53,101.16,86.804,14.2,27.933000000000003,42.956,34.496,43.93600000000001,153.75,164.75,78.053,30.124000000000002,38.792,143.86,59.089,48.731,27.75,91.505,77.84,47.272,39.036,38.828,33.231,210.25,112.0,148.28,137.88,65.34,133.49,57.708999999999996,54.681999999999995,80.926
2017-11-28,317.14,65.569,,13.467,55.34,101.76,86.902,14.19,28.759,43.68600000000001,34.855,44.174,154.77,165.05,77.436,30.529,38.946999999999996,146.73,59.038999999999994,48.771,27.959,92.727,77.79,47.107,39.701,38.641,33.939,213.94,112.98,150.06,139.09,66.958,135.5,58.349,54.935,81.52
2017-11-29,319.96,64.77,23.22,13.5,55.05,103.57,86.921,13.82,29.958000000000002,42.606,34.418,43.403,153.2,160.8,79.505,30.845,38.366,147.1,59.812,49.131,27.784000000000002,93.57600000000001,73.25,46.31399999999999,40.574,38.14,34.955,220.62,109.49,150.89,139.95,68.16199999999999,136.59,58.43899999999999,54.964,81.925
2017-11-30,322.12,64.711,22.0,13.95,55.21,103.15,87.096,14.14,30.008000000000003,41.906000000000006,34.02,44.282,156.2,162.02,79.779,30.739,38.628,147.06,59.871,50.563,27.631,96.18799999999999,75.73,46.324,40.812,40.183,34.858000000000004,226.62,112.21,151.61,141.22,68.429,138.68,58.763000000000005,55.148999999999994,82.538
2017-12-01,319.35,65.066,21.3,14.91,53.16,103.58,86.65799999999999,14.1,30.185,41.614,34.273,44.123999999999995,155.42,161.22,79.623,30.709,38.299,145.73,59.533,50.768,27.7,96.198,75.3,46.711000000000006,41.001000000000005,40.36,34.974000000000004,225.23,110.36,151.57,141.44,68.546,137.19,58.281000000000006,54.964,82.37
